,X,Y
0,297126.0000,2779758.0000
1,299201.0000,2781437.0000
2,299648.0000,2781755.0000
3,299824.0000,2768748.0000
4,300212.0000,2781229.0000
5,300512.0000,2769515.0000
6,300736.5000,2781498.0000
7,300822.0000,2769061.5000
8,301030.0000,2770766.0000
9,301292.6000,2775495.8000
10,301780.2500,2771812.0000
11,302064.7500,2769029.0000
12,302112.4000,2773919.4000
13,302141.0000,2775570.0000
14,302278.0000,2772696.0000
15,302374.6000,2777101.0000
16,302762.5000,2778712.5000
17,303068.0000,2772907.5000
18,303159.4000,2771865.6000
19,303219.0000,2778280.0000
20,303284.0000,2777062.5000
21,303321.8333,2770393.0000
22,303420.0000,2768813.0000
23,303531.4000,2779483.6000
24,303999.6667,2768156.5000
25,304141.0000,2771823.0000
26,304334.7500,2772914.7500
27,304541.0000,2765546.0000
28,304578.5000,2770710.5000
29,304741.0000,2769391.0000
30,304828.5000,2764632.5000
31,305192.3333,2772799.6667
32,305532.0000,2770060.0000
33,305858.5000,2771829.0000
34,305924.0000,2776531.0000
35,305997.6000,2770807.0000
36,306113.0000,2775048.0000
37,306424.0000,2771817.0000
38,306985.1250,2775128.1250
39,307247.8000,2770678.2000
40,307323.0000,2771532.0000
41,307826.0000,2769663.2500
42,308240.0000,2770674.0000
43,308393.0000,2771524.3333
44,308715.0000,2774717.0000
45,309342.0000,2773207.0000
46,309771.6667,2775060.0000
47,310883.0000,2772095.5000
48,311401.0000,2773312.0000
49,311910.5000,2772678.0000
