,X,Y
0,297030,2779281
1,297023,2779795
2,296895,2780510
3,297383,2779385
4,299029,2781379
5,299630,2768823
6,299575,2769305
7,299598,2769786
8,299373,2781495
9,299992,2768171
10,300018,2768673
11,300037,2769315
12,299951,2769878
13,300026,2780904
14,299923,2782015
15,300513,2768231
16,300538,2768754
17,300642,2769323
18,300557,2769778
19,300563,2770348
20,300611,2770773
21,300501,2780382
22,300452,2780954
23,300486,2781488
24,301052,2768839
25,301056,2769330
26,301034,2769890
27,300984,2770364
28,301024,2770962
29,301072,2775465
30,301030,2775926
31,301036,2780869
32,300987,2781508
33,301564,2768787
34,301501,2770965
35,301506,2771580
36,301547,2772028
37,301536,2772590
38,301553,2773237
39,301577,2773724
40,301503,2774843
41,301449,2775371
42,301409,2775874
43,302090,2768773
44,302054,2769297
45,302074,2771540
46,301994,2772100
47,302052,2772623
48,302061,2773208
49,302046,2773687
50,302028,2774267
51,302175,2775388
52,302096,2775972
53,301991,2776545
54,302102,2777705
55,302035,2778196
56,302029,2778746
57,302639,2768271
58,302560,2768768
59,302551,2769259
60,302512,2772097
61,302570,2772635
62,302679,2773162
63,302444,2773704
64,302467,2774215
65,302528,2774969
66,302485,2775285
67,302429,2775965
68,302596,2776549
69,302600,2777126
70,302584,2777580
71,302456,2778186
72,302534,2778655
73,302607,2779300
74,303069,2768235
75,302971,2768756
76,303050,2769240
77,303101,2769797
78,303096,2770323
79,303026,2770950
80,303169,2771496
81,303074,2772108
82,303059,2772615
83,303037,2773212
84,303059,2775464
85,303087,2775982
86,303034,2776555
87,303080,2777050
88,303073,2777688
89,303015,2778167
90,302991,2778770
91,303071,2779252
92,303086,2779763
93,303563,2767671
94,303580,2768206
95,303536,2768737
96,303502,2769320
97,303636,2769859
98,303505,2770440
99,303567,2770989
100,303484,2771535
101,303558,2772092
102,303552,2772618
103,303511,2773203
104,303530,2776642
105,303488,2777075
106,303555,2777722
107,303531,2778186
108,303566,2778714
109,303524,2779272
110,304226,2766005
111,304165,2766590
112,304029,2767768
113,304116,2768327
114,304086,2768743
115,304087,2769840
116,304056,2770388
117,304125,2770988
118,304085,2771531
119,304119,2772072
120,304086,2772606
121,304015,2773207
122,304010,2776980
123,304042,2778207
124,303998,2778925
125,304016,2779297
126,303960,2779834
127,304549,2764951
128,304560,2765400
129,304570,2766002
130,304624,2768224
131,304618,2768790
132,304610,2769205
133,304691,2769888
134,304655,2770492
135,304571,2770938
136,304532,2771567
137,304538,2772060
138,304661,2772650
139,304577,2773196
140,304389,2778196
141,305108,2764314
142,305069,2768808
143,305012,2769326
144,305100,2769880
145,305018,2770429
146,305046,2771028
147,305062,2771619
148,305108,2772101
149,304977,2772699
150,305020,2773035
151,305051,2774470
152,305122,2774855
153,305580,2769366
154,305530,2769915
155,305577,2770478
156,305569,2771004
157,305609,2771624
158,305619,2772079
159,305580,2772665
160,305639,2774506
161,305513,2774918
162,305532,2775355
163,305670,2777106
164,306087,2769298
165,306132,2769886
166,306060,2770483
167,306156,2770990
168,306138,2771540
169,306068,2772073
170,306023,2774745
171,306036,2775392
172,306545,2769895
173,306766,2770395
174,306626,2771080
175,306583,2771483
176,306641,2772028
177,306584,2772549
178,306738,2774470
179,306606,2774933
180,306572,2775441
181,306553,2775878
182,307068,2770511
183,307136,2770971
184,307079,2771515
185,307056,2772079
186,307052,2772636
187,306987,2774472
188,307187,2775418
189,307492,2769317
190,307596,2769949
191,307656,2770496
192,307613,2771018
193,307567,2771549
194,307629,2774950
195,307609,2775463
196,308102,2769458
197,308114,2769929
198,308221,2770481
199,308102,2770974
200,308193,2771527
201,308185,2771994
202,308112,2774914
203,307964,2775316
204,308574,2770011
205,308615,2770486
206,308584,2771005
207,308697,2771501
208,308597,2772145
209,308607,2774363
210,308511,2774861
211,308515,2775284
212,309085,2770435
213,309084,2770961
214,309129,2772704
215,309482,2770445
216,309555,2773710
217,309658,2774890
218,309579,2775498
219,310078,2774792
220,310645,2772067
221,311121,2772124
222,311130,2773830
223,311043,2774156
224,311740,2772643
225,311567,2773790
226,311694,2774266
227,312081,2772713
228,312179,2773769
