,X,Y
I001,302971,2768756
I002,304067,2769881
I003,304618,2768790
I004,304610,2769205
I005,305100,2769880
I006,305018,2770429
I007,305530,2769915
I008,305577,2770478
I009,306132,2769886
I010,306060,2770483
I011,299992,2768171
I012,300018,2768673
I013,300037,2769315
I014,300513,2768231
I015,300538,2768754
I016,300642,2769323
I017,300557,2769778
I018,300563,2770348
I019,300611,2770773
I020,301052,2768839
I021,301056,2769330
I022,301034,2769890
I023,300984,2770364
I024,301024,2770962
I025,301564,2768787
I026,301501,2770965
I027,301506,2771580
I028,301547,2772028
I029,301536,2772590
I030,301553,2773237
I031,302090,2768773
I032,302054,2769297
I033,302074,2771540
I034,301994,2772100
I035,302052,2772623
I036,302061,2773208
I037,302639,2768271
I038,302560,2768768
I039,302551,2769259
I040,302512,2772097
I041,302570,2772635
I042,302679,2773162
I043,303069,2768235
I044,303050,2769240
I045,303101,2769797
I046,303096,2770323
I047,303026,2770950
I048,303169,2771496
I049,303074,2772108
I050,303059,2772615
I051,303037,2773212
I052,303563,2767671
I053,303580,2768206
I054,303536,2768737
I055,303502,2769320
I056,303636,2769859
I057,303505,2770440
I058,303567,2770989
I059,303484,2771535
I060,303558,2772092
I061,303552,2772618
I062,303511,2773203
I063,304226,2766005
I064,304165,2766590
I065,304029,2767768
I066,304116,2768327
I067,304086,2768743
I068,304087,2769840
I069,304056,2770388
I070,304125,2770988
I071,304085,2771531
I072,304119,2772072
I073,304086,2772606
I074,304015,2773207
I075,304570,2766002
I076,304624,2768224
I077,304691,2769888
I078,304655,2770492
I079,304571,2770938
I080,304532,2771567
I081,304538,2772060
I082,304661,2772650
I083,304577,2773196
I084,305069,2768808
I085,305012,2769326
I086,305046,2771028
I087,305062,2771619
I088,305108,2772101
I089,304977,2772699
I090,305020,2773035
I091,305580,2769366
I092,305569,2771004
I093,305609,2771624
I094,305619,2772079
I095,305580,2772665
I096,306087,2769298
I097,306156,2770990
I098,306138,2771540
I099,306068,2772073
I100,306545,2769895
I101,306766,2770395
I102,306626,2771080
I103,306583,2771483
I104,306641,2772028
I105,306584,2772549
I106,307068,2770511
I107,307136,2770971
I108,307079,2771515
I109,307056,2772079
I110,307052,2772636
I111,307492,2769317
I112,307596,2769949
I113,307656,2770496
I114,307613,2771018
I115,307567,2771549
I116,308102,2769458
I117,308114,2769929
I118,308221,2770481
I119,308102,2770974
I120,308193,2771527
I121,308185,2771994
I122,308574,2770011
I123,308615,2770486
I124,308584,2771005
I125,308697,2771501
I126,308597,2772145
I127,309085,2770435
I128,309084,2770961
I129,309129,2772704
