,X,Y,bed
0,300595.7278,2770516.669,100
1,304950.5028,2770119.247,300
2,311209.305,2774320.759,100
3,309368.7527,2775005.515,100
4,299677.2205,2768939.838,300
5,306037.0791,2771427.375,300
6,305276.6894,2769933.621,100
7,301169.2155,2771518.953,100
8,303993.6267,2768680.421,100
9,303304.1172,2772783.146,100
10,311476.6781,2772126.186,100
11,301077.2774,2771431.568,300
12,303649.7937,2771457.108,300
13,304279.0704,2764910.24,300
14,305912.5762,2768924.337,300
15,300042.2039,2769931.245,300
16,296785.5349,2779189.131,300
17,305964.267,2770666.545,100
18,303408.1177,2772690.441,100
19,301223.1958,2768532.187,100
